_sl__no_,state_ut_wise,__2016_17,_2017_18,_2018_19,_2019_20,_2020_21
1,Andhra Pradesh,82863,NA,66314.0,46222.0,39626.45
2,Arunachal Pradesh,NA,6,3787.37,2721.0,3755.9
3,Assam,24030,NA,32277.87,24971.0,58765
4,Bihar,2280,2280,68903.328,41365.0,74263.69
5,Chhattisgarh,7300,NA,6000.0,32850.0,47450
6,Goa,NA,NA,32580.52,26068.0,29441
7,Gujarat,269294.88,269808,356873.0,408201.0,337693.96
8,Haryana,23369.09,NA,68735.26,147734.0,185168
9,Himachal Pradesh,255,NA,3672.0,13683.0,6206.78
10,Jammu and Kashmir,NA,27870,34367.37,74826.33,51710.6
11,Jharkhand,NA,NA,51454.53,43332.0,20263.45
12,Karnataka,419600,NA,272776.0,296380.0,368080
13,Kerala,NA,NA,133316.0,131400.0,120063.87
14,Madhya Pradesh,50457.07,61037,72327.39,121079.0,138483.58
15,Maharashtra,21420.33,NA,409630.0,443724.0,311254
16,Manipur,NA,24,12453.8,8293.0,10303
17,Meghalaya,13.265,15.096,1263.0,5043.0,NA
18,Mizoram,NA,NA,13.306,7909.0,1514.51
19,Nagaland,NA,14052.5,268.18,565.0,4785.94
20,Odisha,6890.805,12092.205,90138.98,45339.4,51269.9
21,Punjab,163423.4,54066.1,119414.64,92890.0,108332.06
22,Rajasthan,NA,NA,104704.383,51966.0,66324.57
23,Sikkim,102.7,NA,5.66,69.0,82.75
24,Tamil Nadu,79114.792,NA,401091.0,431472.0,430107
25,Telangana,NA,NA,183014.65,233655.0,472675
26,Tripura,30,28.5,26.2,32.0,61.65
27,Uttar Pradesh,152492.6445,206733.4505,254401.8,161148.0,375950
28,Uttarakhand,NA,NA,31093.0,25203.0,18647.75
29,West Bengal,NA,NA,300236.12,300236.0,417925
30,Andaman and Nicobar Islands,365,NA,1850.0,387.0,492.342
31,Dadra and Nagar Haveli and Daman and Diu,NA,NA,1947.7,1948.0,4726
32,Chandigarh,21516.75,12775,11715.4,6746.0,13107.15
33,Lakshadweep,NA,NA,148.0,46.0,523.54
34,Delhi NCR,232732,NA,224810.0,230525.0,345000
35,Puducherry,9252.25,NA,8433.0,11753.0,12754
